지점코드,지점명,위도,경도,고도,설치주소,관측시작일
567801A002,진안군 진안읍,35.7603,127.43745,362,전라북도 진안군 진안읍 진무로 702-30,2012-04-27
767862A001,울진군 매화면,36.91721,129.37943,27,경북 울진군 매화면 매화매실길 76,2012-04-26
233852A001,정선군 정선읍,37.42332,128.65395,374,강원도 정선군 북평면 남평1리 1270-6,2012-04-24
230802A001,영월군 영월읍,37.16763,128.47716,220,강원도 영월군 영월읍 덕포리 95-1,2011-11-09
535812A001,신안군 압해읍,34.85943,126.29898,23,전라남도 신안군 압해읍 동서리 520(압해로 1042),2011-09-30
660985B001,진주시 초전동,35.20538,128.11697,23,경남 진주시 초전동 469,2011-09-08
764803A001,영양군 영양읍,36.65608,129.1464,248,경상북도 영양군 영양읍 영양창수로 323,2011-08-10
529805A001,장흥군 장흥읍,34.67061,126.91002,40,전남 장흥군 장흥읍 건산리 236-6,2011-07-27
321916A001,계룡시 두마면,36.26169,127.27726,148,충청남도 계룡시 두마면 사계로 177,2011-06-30
555130A001,여수시 주삼동,34.78753,127.65434,26,전라남도 여수시 주동1길 32 (주삼동),2011-06-23
566822A001,임실군 신평면,35.65627,127.26588,225,전북 임실군 신평면 대리 1244-3,2011-06-21
667831A001,하동군 적량면,35.07943,127.76967,35,경남 하동군 적량면 동산리 1830-2,2011-06-15
210852A001,강릉시 연곡면,37.85242,128.84401,7,강원도 강릉시 연곡면 동덕리 1465,2011-06-11
225874A001,횡성군 공근면,37.5275,127.96066,146,강원도 횡성군 공근면 학담2리 784-3,2011-05-25
477802A001,가평군 가평읍,37.84621,127.50063,80,경기도 가평군 가평읍 아랫마장길 59,2011-05-22
519822A001,화순군 한천면,34.9735,127.07065,139,전라남도 화순군 한천면 동가리 29-1,2011-05-18
516821A001,곡성군 오곡면,35.27364,127.30344,71,전남 곡성군 오곡면 승법리 180-7,2011-05-16
548912A001,고흥군 풍양면,34.56648,127.25811,52,전라남도 고흥군 풍양면 풍남로 143,2011-05-16
355831A001,보령시 주교면,36.39115,126.56601,49,충남 보령시 주포면 주교리 422-5,2011-04-27
719862A001,성주군 대가면,35.91477,128.25264,60,경상북도 성주군 대가면 참별로 2479,2011-04-21
445891A001,화성시 장안면,37.0773,126.8738,42,경기도 화성시 장안면 풍무길80번길 53-20,2011-04-16
269804A001,음성군 소이면,36.91366,127.76175,100,충북 음성군 소이면 봉전리 777,2011-04-15
2508450,홍천군 자운리,37.71752,128.38023,720,강원도 홍천군 내면 자운리 813-0,2011-03-28
2328150,평창군 운교리,37.53749,128.44067,622.5,강원도 평창군 대화면 신리 1995-12 서울대학교 평창캠퍼스 내,2011-03-11
2352700,태백 귀네미골,37.33551,129.00528,728,강원도 태백시 하사미동 524-87 귀네미골마을회관 앞,2011-03-10
209802A001,화천군 화천읍,38.11013,127.69448,139,강원도 화천군 화천읍 상리 531 화천군농업기술센터 실습,2011-02-22
546804B001,보성군 보성읍,34.78188,127.09562,145,전라남도 보성군 보성읍 송재로 354 (녹차연구소),2011-02-10
745230A001,문경시 흥덕동,36.61436,128.20773,85,경상북도 문경시 중앙로 280 (흥덕동),2001-07-01
245832A001,삼척시 근덕면,37.38416,129.23112,19,강원도 삼척시 근덕면 맹방해변로 49,2011-01-28
363883B001,청원군 오창읍,36.72304,127.46507,40,충청북도 청원군 오창읍 가곡길 46,2011-01-26
638802A001,고성군 고성읍,34.99053,128.3309,20,경상남도 고성군 고성읍 죽계리 435-230,2011-01-19
760380A001,안동시 송천동,36.53824,128.80505,78,경상북도 안동시 경동로 1484-10 (송천동),2011-01-20
345802A001,청양군 청양읍,36.42545,126.7957,192,충청남도 청양군 청양읍 적누리 264번지,2011-01-19
565862A001,완주군 고산면,35.98494,127.22152,78,전라북도 완주군 고산면 고산천로 720-45,2011-01-14
597803A001,장수군 장수읍,35.61981,127.51154,478,전라북도 장수군 장수읍 와동길 55,2011-01-14
350808A001,홍성군 홍성읍,36.60263,126.57921,78,충청남도 홍성군 홍성읍 갈산면 동산리 843,2011-01-11
363844A001,청주시 남일면,36.58794,127.50645,58,충청북도 청원군 남일면 단재로 480,2011-01-07
5798240,부안군 계화면,35.77281,126.66958,7,전라북도 부안군 계화면 간재로 692,2000-07-31
5908340,남원시 운봉읍,35.43851,127.52843,471,전라북도 남원시 운봉읍 황산로 1067,2005-11-14
590823A001,남원시 이백면,35.42608,127.43795,152,전라북도 남원시 이백면 이백로 309,2011-01-06
718814A001,칠곡군 약목면,36.03976,128.38128,47,경상북도 칠곡군 약목면 동덕로 146,2011-01-05
7668510,영덕군 병곡면,36.56831,129.39595,17,경북 영덕군 병곡면 원황1리 767 영덕출장소,2007-04-01
750873A001,영주시 안정로,36.84645,128.56092,173,경상북도 영주시 안정면 안정로 30,2011-01-10
621100A001,김해시 전하동,35.21431,128.86962,5,경상남도 김해시 전하로198번길 102 (전하동),2010-12-21
618803A001,부산시 강서구,35.20937,128.96128,3,경남 부산시 강서구 대저1동 2038,2010-12-20
373805A001,옥천군 옥천읍,36.29997,127.59653,117,충청북도 옥천군 옥천읍 옥천동이로 234,2002-01-01
232803A001,평창군 여만리,37.37715,128.39402,293,강원도 평창군 평창읍 여만길 46,2010-12-07
7418620,상주시 화서면,36.43992,127.94446,294,경상북도 상주시 화서면 중화로 2161,2010-12-17
5348330,무안군 청계면,34.96849,126.45608,30,전라남도 무안군 청계면 청천리 293-2(무안로 199),2010-12-17
250802A001,홍천군 화동리,37.70566,127.85943,139,강원도 홍천군 북방면 화동리 481,2011-01-28
269811A001,철원군 동송읍,38.20324,127.25026,205,강원도 철원군 동송읍 장흥3리,2010-12-16
415743A001,김포시 월곶면,37.69489,126.55614,43,경기도 김포시 월곶면 오리정로 13,2010-12-14
456871A001,안성시 보개면,37.02392,127.28776,73,경기도 안성시 보개면 보개원삼로 219,2010-12-13
425320A001,안산시 단원구,37.24892,126.59118,7,경기도 안산시 단원구 대부도동 1253-1,2010-12-08
482841A001,양주시 광적면,37.82046,126.97269,107,경기도 양주군 광적면 광석리 278,2010-12-06
542805A001,구례군 구례읍,35.1973,127.46092,38,전라남도 구례군 구례읍 동산1길 32,2016-05-04
411801A001,고양시 구산동,37.67453,126.7007,24,경기도 고양시 일산서구 구산동 1942,2010-12-06
235802A001,태백시 황지동,37.20634,128.9857,733,강원도 태백시 황지동 288-5,2010-12-04
220844A001,원주시 흥업면,37.29576,127.91503,154,강원도 원주시 흥업면 흥대길 7,2010-12-01
390874A001,제천시 봉양읍,37.16156,128.17668,320,충청북도 제천시 봉양읍 제천북로3길 20,2010-12-01
487915A001,포천시 신북면,37.92364,127.22573,128,경기도 포천시 신북면 틀못이길 11-88,2010-11-26
670807A001,거창군 거창읍,35.67318,127.92131,194,경남 거창군 거창읍 거함대로 3372-60,2012-12-02
791945A001,포항시 북구,36.11306,129.30634,45,경상북도 포항시 북구 흥해읍 신흥로 572,2010-11-17
357903A001,태안군 태안읍,36.73285,126.30477,31,충청남도 태안군 태안읍 송암로 523,2010-11-18
365803A001,진천군 진천읍,36.85385,127.42977,101,충북 진천군 진천읍 성석리 903,2010-11-18
380959A001,충주시 달천동,36.95015,127.89728,76,충북 충주시 달천동 672-2,2010-08-19
451873A001,평택시 오성면,37.01257,126.98065,31,경기도 평택시 오성면 청오로 33-58,2010-11-15
486803A001,연천군 연천읍,38.08436,127.07843,49,경기도 연천군 연천읍 동막리 431-12(연천로 42번길),2010-11-12
413813A001,파주시 아동동,37.76469,126.79618,23,경기도 파주시 아동동 91-6,2010-11-11
469803A001,여주시 상거동,37.25226,127.63796,87,경기도 여주군 여주읍 상거리 5-6,2010-11-10
343808A001,당진시 당진읍,36.91377,126.64968,11,충남 당진군 당진읍 구봉로 46,2010-11-10
449872A001,용인시 처인구,37.17386,127.2989,149,경기도 용인시 처인구 원삼면 농촌파크로 80,2010-11-10
409871A001,옹진군 영흥면,37.25288,126.46034,11,인천광역시 옹진군 영흥면 영흥남로435번길 29,2012-05-26
467800A001,이천시 중리동,37.27261,127.43305,90,경기도 이천시 부악로 38-52 (중리동),2010-11-08
464030A001,광주시 목현동,37.43231,127.23394,91,경기도 광주시 이배재로 209-5,2010-11-01
429843A001,시흥시 하중동,37.40104,126.8079,12,경기도 시흥시 하중동 224-1,2010-11-05
763803A001,청송군 청송읍,36.3906,129.07849,217,경상북도 청송군 청송읍 주왕산로 177,2010-11-05
656933A001,거제시 거제면,34.85653,128.58051,41,경남 거제시 거제면 거제남서로 3577(거제시농업개발원),2010-11-04
252805A001,인제군 인제읍,38.05974,128.16701,192,강원도 인제군 인제읍 남북리 2리 7반,2010-10-13
595870A001,순창군 구림면,35.43821,127.0412,269,전라북도 순창군 구림면 삭골길 56-1,2010-10-01
513842A001,영광군 군서면,35.28227,126.46796,20,전라남도 영광군 군서면 만곡리 184-1,2010-10-06
755851A001,봉화군 석포면,37.0522,129.00311,586,경상북도 봉화군 석포면 대현리 149-25,2010-10-05
588802A001,무주군 무주읍,36.00476,127.67429,214,전북 무주군 한풍루로 416 무주군농업기술센터,2010-10-01
650821A001,통영시 광도면,34.90357,128.40463,42,경상남도 통영시 광도면 노산리 251-40(농업개발시설내),2010-09-30
580813A001,정읍시 정우면,35.62084,126.89625,30,전라북도 정읍시 정우면 정우남로 282,2010-09-16
526821A001,영암군 덕진면,34.82528,126.67311,28,전남 영암군 덕진면 장선리 676-1(금호길 11),2010-09-23
515804A001,장성군 장성읍,35.3185,126.79595,61,전라남도 장성군 장성읍 단풍로 220,2015-08-21
539823A001,진도군 군내면,34.51146,126.29772,41,전라남도 진도군 군내면 송산리 747-1 (가흥로 697),2010-09-23
627911A001,밀양시 상남면,35.44802,128.75794,7,경상남도 밀양시 상남면 상남로 1008-19,2010-09-06
476801A001,양평군 양평읍,37.50897,127.51295,191,경기도 양평군 양평읍 농업기술센터길 37,2010-09-28
370853A001,영동군 심천면,36.20687,127.71638,100,충북 영동군 심천면 약목리 282번지 실증시험포,2010-09-28
200821A001,춘천시 신북읍,37.934,127.75377,98,강원도 춘천시 신북읍 신북로 102,2010-09-28
546805A001,보성군 웅치면,34.72791,127.02383,159,전라남도 보성군 웅치면 강산리 1592-29,2010-09-27
525811A001,함평군 학교면,35.05217,126.54172,12,전라남도 함평군 학교면 학교화산길 90,2010-09-15
217060A001,속초시 대포동,38.16919,128.5997,68,강원도 속초시 대포동 159-13,2010-09-15
757802A001,예천군 예천읍,36.67708,128.46287,101,경상북도 예천군 예천읍 도효자로 87-56,2010-09-10
730802A001,구미시 선산읍,36.23156,128.28812,32,경북 구미시 선산읍 이문리 862,2010-09-13
339814A001,세종시 연서면,36.57488,127.28141,55,세종특별자치시 연서면 월하천로 289,2010-09-13
742290A001,상주시 초산동,36.4537,128.16712,66,경상북도 상주시 발산로 71 (초산동),2010-09-13
576040A001,김제시 부량면,35.74644,126.85146,24,전북 김제시 부량면 신용리 301-2 김제시농업기술센터 예찰포,2010-09-09
312831A001,금산군 금성면,36.12584,127.49408,168,충남 금산군 금성면 의총길 90,2010-09-08
323814A001,부여군 규암면,36.25915,126.84262,24,충청남도 부여군 규암면 흥수로 488,2010-09-06
340861A001,예산군 신암면,36.74209,126.81445,29,충남 예산군 신암면 종경리 281-22,2010-09-02
